,height_x,weight_x,collegeName,Full Name,Team,Position,yearsPro,overall_rating,teamId,nflId,age
349,5-11,199,Minnesota,Eric Murray,Texans,SS,6.0,72.0,32.0,43395,28.0
350,6-1,200,Cincinnati,Chris Moore,Texans,WR,5.0,70.0,32.0,43396,29.0
351,6-6,257,Western Kentucky,Tyler Higbee,Rams,TE,6.0,83.0,24.0,43399,29.0
352,6-2,222,Southern Utah,Miles Killebrew,Steelers,SS,6.0,67.0,29.0,43400,29.0
353,6-4,232,Minnesota,De'Vondre Campbell,Packers,MLB,6.0,87.0,20.0,43404,29.0
354,6-3,305,Texas,Hassan Ridgeway,49ers,DT,6.0,67.0,15.0,43405,27.0
355,6-0,212,North Carolina State,Juston Burris,Panthers,SS,6.0,66.0,21.0,43407,29.0
356,6-4,300,"Manitoba, Can.",David Onyemata,Saints,DT,6.0,80.0,27.0,43409,29.0
357,6-1,328,Baylor,Andrew Billings,Raiders,LE,6.0,65.0,23.0,43411,27.0
358,6-0,200,Miami,Deon Bush,Chiefs,FS,6.0,65.0,9.0,43413,29.0
359,6-1,203,Florida,Demarcus Robinson,Raiders,WR,6.0,76.0,23.0,43415,27.0
360,6-2,237,Stanford,Blake Martinez,Giants,MLB,6.0,78.0,16.0,43420,28.0
361,6-2,238,Mississippi State,Dak Prescott,Cowboys,QB,6.0,89.0,11.0,43424,29.0
362,6-6,296,Northwestern,Dean Lowry,Packers,LE,6.0,75.0,20.0,43426,28.0
363,6-4,306,Missouri,Connor McGovern,Jets,C,6.0,77.0,18.0,43433,29.0
364,6-4,306,Missouri,Connor McGovern,Cowboys,LG,3.0,66.0,11.0,43433,24.0
366,6-4,291,Maryland,Quinton Jefferson,Seahawks,RE,6.0,73.0,28.0,43436,29.0
369,6-6,298,North Dakota State,Joe Haeg,Steelers,LT,6.0,62.0,29.0,43444,29.0
370,6-0,217,Arkansas,Jonathan Williams,Commanders,HB,5.0,64.0,26.0,43445,28.0
372,5-10,185,West Alabama,Tyreek Hill,Dolphins,WR,6.0,97.0,12.0,43454,28.0
373,6-3,347,Clemson,D.J. Reader,Bengals,DT,6.0,84.0,2.0,43455,28.0
374,6-1,198,Colorado State,Rashard Higgins,Panthers,WR,6.0,73.0,21.0,43461,27.0
375,6-0,202,William &amp; Mary,DeAndre Houston-Carson,Bears,FS,6.0,72.0,1.0,43474,29.0
376,5-11,196,Purdue,Anthony Brown,Cowboys,CB,6.0,76.0,11.0,43478,28.0
377,6-5,314,San Jose State,Wes Schweitzer,Commanders,RG,6.0,71.0,26.0,43484,28.0
378,6-2,234,Wisconsin,Derek Watt,Steelers,FB,6.0,68.0,29.0,43487,29.0
379,6-2,209,Arkansas,Brandon Allen,Bengals,QB,6.0,54.0,2.0,43490,29.0
380,6-1,189,Southern Mississippi,Mike Thomas,Bengals,WR,6.0,68.0,2.0,43495,28.0
381,6-4,235,Louisiana Tech,Jeff Driskel,Texans,QB,5.0,60.0,32.0,43496,29.0
382,6-2,230,Eastern Illinois,Kamu Grugier-Hill,Texans,ROLB,6.0,74.0,32.0,43497,28.0
383,6-0,238,Houston,Elandon Roberts,Dolphins,MLB,6.0,70.0,12.0,43503,28.0
384,6-1,194,Arizona,Will Parks,Jets,SS,5.0,69.0,18.0,43508,28.0
385,6-4,305,Illinois,Ted Karras,Bengals,C,6.0,75.0,2.0,43510,29.0
386,6-0,191,Louisiana State,Jalen Mills,Patriots,CB,6.0,75.0,22.0,43522,28.0
387,6-1,223,Washington,Dwayne Washington,Saints,HB,6.0,67.0,27.0,43525,28.0
388,6-4,215,Clemson,Jayron Kearse,Cowboys,SS,6.0,80.0,11.0,43533,28.0
389,6-0,205,Illinois,Clayton Fejedelem,Dolphins,SS,6.0,70.0,12.0,43534,29.0
390,6-3,300,Iowa,Austin Blythe,Seahawks,C,6.0,72.0,28.0,43537,30.0
391,5-8,182,Holy Cross,Kalif Raymond,Lions,WR,5.0,72.0,19.0,43584,28.0
392,6-5,322,Western Kentucky,George Fant,Jets,LT,6.0,77.0,18.0,43586,30.0
394,5-9,184,Mississippi,Mike Hilton,Bengals,CB,6.0,82.0,2.0,43641,28.0
395,6-0,340,Samford,Michael Pierce,Ravens,DT,6.0,88.0,25.0,43694,29.0
396,5-10,190,Auburn,Jonathan Jones,Patriots,CB,6.0,81.0,22.0,43700,28.0
397,5-10,195,Arkansas State,J.D. McKissic,Commanders,HB,6.0,78.0,26.0,43722,29.0
399,6-3,294,Florida Atlantic,Brandin Bryant,Bills,DT,4.0,64.0,3.0,43780,28.0
400,6-5,294,Texas-El Paso,Roy Robertson-Harris,Jaguars,RE,6.0,71.0,17.0,43787,29.0
401,6-3,275,Colorado State-Pueblo,Morgan Fox,Chargers,RE,6.0,73.0,8.0,43791,27.0
402,6-3,228,Washington,Cory Littleton,Panthers,LOLB,6.0,71.0,21.0,43797,28.0
404,6-4,299,UCLA,Jake Brendel,49ers,C,6.0,56.0,15.0,43821,29.0
405,6-3,230,California,Stephen Anderson,Cardinals,TE,6.0,66.0,7.0,43845,29.0
407,5-11,235,"Augustana, S.D.",C.J. Ham,Vikings,FB,6.0,75.0,31.0,43971,29.0
408,6-0,190,South Carolina State,Antonio Hamilton,Cardinals,CB,5.0,67.0,7.0,43986,29.0
409,6-1,207,Texas,Marcus Johnson,49ers,WR,6.0,71.0,15.0,44003,28.0
410,6-3,240,Pittsburgh,J.P. Holtz,Saints,TE,4.0,62.0,27.0,44009,29.0
411,6-3,313,Duke,Lucas Patrick,Bears,RG,6.0,73.0,1.0,44068,29.0
412,6-1,236,Texas Tech,Sam Eguavoen,Dolphins,ROLB,3.0,70.0,12.0,44174,29.0
413,6-5,267,Virginia Commonwealth,Mo Alie-Cox,Colts,TE,4.0,75.0,10.0,44792,28.0
414,6-4,272,Texas A&amp;M,Myles Garrett,Browns,RE,5.0,99.0,5.0,44813,26.0
415,6-2,215,North Carolina,Mitchell Trubisky,Steelers,QB,5.0,69.0,29.0,44814,28.0
416,6-2,280,Stanford,Solomon Thomas,Jets,DT,5.0,74.0,18.0,44815,27.0
417,6-0,228,Louisiana State,Leonard Fournette,Buccaneers,HB,5.0,87.0,6.0,44816,27.0
418,6-3,209,Western Michigan,Corey Davis,Jets,WR,5.0,79.0,18.0,44817,27.0
419,6-1,213,Louisiana State,Jamal Adams,Seahawks,SS,5.0,90.0,28.0,44818,26.0
420,6-4,218,Clemson,Mike Williams,Chargers,WR,5.0,86.0,8.0,44819,27.0
421,5-11,205,Stanford,Christian McCaffrey,Panthers,HB,5.0,96.0,21.0,44820,26.0
422,6-3,230,Texas Tech,Patrick Mahomes,Chiefs,QB,5.0,95.0,9.0,44822,26.0
423,6-0,192,Ohio State,Marshon Lattimore,Saints,CB,5.0,91.0,27.0,44823,26.0
424,6-1,235,Temple,Haason Reddick,Eagles,LOLB,5.0,82.0,13.0,44825,27.0
425,6-3,259,Tennessee,Derek Barnett,Eagles,RE,5.0,74.0,13.0,44826,26.0
426,6-1,212,Ohio State,Malik Hooker,Cowboys,FS,5.0,76.0,11.0,44827,26.0
427,6-0,197,Alabama,Marlon Humphrey,Ravens,CB,5.0,90.0,25.0,44828,26.0
428,6-3,300,Alabama,Jonathan Allen,Commanders,DT,5.0,92.0,26.0,44829,27.0
429,5-11,185,Southern California,Adoree' Jackson,Giants,CB,5.0,82.0,16.0,44830,26.0
430,6-6,250,Alabama,O.J. Howard,Bills,TE,5.0,75.0,3.0,44831,27.0
431,6-5,300,Utah,Garett Bolles,Broncos,LT,5.0,82.0,4.0,44832,30.0
432,6-3,250,Missouri,Charles Harris,Lions,ROLB,5.0,76.0,19.0,44834,27.0
433,6-3,240,Mississippi,Evan Engram,Jaguars,TE,5.0,81.0,17.0,44835,27.0
434,5-11,213,Michigan,Jabrill Peppers,Patriots,FS,5.0,80.0,22.0,44837,26.0
436,6-4,246,Miami,David Njoku,Browns,TE,5.0,80.0,5.0,44841,26.0
437,6-4,252,Wisconsin,T.J. Watt,Steelers,LOLB,5.0,96.0,29.0,44842,27.0
438,6-6,314,Wisconsin,Ryan Ramczyk,Saints,RT,5.0,89.0,27.0,44844,28.0
439,6-6,320,Alabama,Cam Robinson,Jaguars,LT,5.0,74.0,17.0,44846,26.0
440,5-10,195,Washington,Budda Baker,Cardinals,SS,5.0,92.0,7.0,44848,26.0
441,6-2,200,East Carolina,Zay Jones,Jaguars,WR,5.0,75.0,17.0,44849,27.0
442,6-0,207,Florida,Marcus Maye,Saints,FS,5.0,83.0,27.0,44851,29.0
443,5-11,195,Ohio State,Curtis Samuel,Commanders,WR,5.0,78.0,26.0,44852,26.0
444,5-10,210,Florida State,Dalvin Cook,Vikings,HB,5.0,94.0,31.0,44853,27.0
445,6-1,195,Utah,Marcus Williams,Ravens,FS,5.0,86.0,25.0,44854,25.0
447,6-3,240,South Alabama,Gerald Everett,Chargers,TE,5.0,76.0,8.0,44856,28.0
448,6-2,193,Florida,Quincy Wilson,Dolphins,SS,5.0,67.0,12.0,44858,26.0
449,6-3,240,Houston,Tyus Bowser,Ravens,ROLB,5.0,77.0,25.0,44859,27.0
450,6-1,220,Oklahoma,Joe Mixon,Bengals,HB,5.0,93.0,2.0,44860,26.0
452,6-0,199,Texas A&amp;M,Justin Evans,Saints,SS,4.0,70.0,27.0,44862,27.0
453,6-4,280,Florida State,DeMarcus Walker,Titans,RE,5.0,68.0,30.0,44863,27.0
454,6-2,242,Ohio State,Raekwon McMillan,Patriots,MLB,5.0,69.0,22.0,44866,26.0
455,6-3,318,Alabama,Dalvin Tomlinson,Vikings,DT,5.0,77.0,31.0,44867,28.0
456,6-3,238,Vanderbilt,Zach Cunningham,Titans,MLB,5.0,78.0,30.0,44869,27.0
457,6-6,320,Louisiana State,Ethan Pocic,Browns,C,5.0,70.0,5.0,44870,27.0
458,6-7,289,Villanova,Tanoh Kpassagnon,Saints,LE,5.0,69.0,27.0,44871,28.0
459,6-0,202,Colorado,Chidobe Awuzie,Bengals,CB,5.0,85.0,2.0,44872,27.0
460,6-2,220,North Carolina State,Josh Jones,Seahawks,FS,5.0,69.0,28.0,44873,27.0
461,6-2,220,North Carolina State,Josh Jones,Cardinals,RT,2.0,68.0,7.0,44873,25.0
462,6-1,215,Southern California,JuJu Smith-Schuster,Chiefs,WR,5.0,80.0,9.0,44874,25.0
463,6-5,320,Temple,Dion Dawkins,Bills,LT,5.0,83.0,3.0,44875,28.0
464,6-5,325,Western Michigan,Taylor Moton,Panthers,RT,5.0,83.0,21.0,44876,28.0
465,6-3,305,North Carolina-Charlotte,Larry Ogunjobi,Steelers,LE,5.0,75.0,29.0,44877,28.0
466,6-2,195,Colorado,Ahkello Witherspoon,Steelers,CB,5.0,79.0,29.0,44878,27.0
467,5-10,215,Tennessee,Alvin Kamara,Saints,HB,5.0,90.0,27.0,44879,27.0
468,6-3,264,Illinois,Dawuane Smoot,Jaguars,LE,5.0,77.0,17.0,44880,27.0
469,6-2,208,Eastern Washington,Cooper Kupp,Rams,WR,5.0,98.0,24.0,44881,29.0
470,6-3,303,Ohio State,Pat Elflein,Panthers,C,5.0,67.0,21.0,44882,28.0
471,6-5,300,Michigan,Chris Wormley,Steelers,LE,5.0,74.0,29.0,44886,28.0
472,6-1,230,Louisiana State,Duke Riley,Dolphins,MLB,5.0,66.0,12.0,44887,28.0
473,6-3,240,Florida,Alex Anzalone,Lions,MLB,5.0,72.0,19.0,44888,27.0
474,6-4,266,Ohio,Tarell Basham,Cowboys,LE,5.0,72.0,11.0,44892,28.0
475,6-0,204,UCLA,Fabian Moreau,Texans,CB,5.0,73.0,32.0,44893,28.0
476,6-1,209,Penn State,Chris Godwin,Buccaneers,WR,5.0,89.0,6.0,44896,26.0
477,5-11,216,Toledo,Kareem Hunt,Browns,HB,5.0,86.0,5.0,44898,27.0
478,6-1,233,Texas,D'Onta Foreman,Panthers,HB,5.0,71.0,21.0,44901,26.0
479,6-0,198,Central Florida,Shaquill Griffin,Jaguars,CB,5.0,84.0,17.0,44902,27.0
481,5-10,195,Michigan,Jourdan Lewis,Cowboys,CB,5.0,77.0,11.0,44904,27.0
482,6-4,304,Auburn,Montravius Adams,Steelers,DT,5.0,69.0,29.0,44905,27.0
483,5-11,188,Tennessee,Cameron Sutton,Steelers,CB,5.0,76.0,29.0,44906,27.0
484,6-4,213,Northern Illinois,Kenny Golladay,Giants,WR,5.0,81.0,16.0,44908,28.0
485,6-2,209,West Virginia,Rasul Douglas,Packers,CB,5.0,80.0,20.0,44911,27.0
486,6-3,248,Florida International,Jonnu Smith,Patriots,TE,5.0,77.0,22.0,44912,27.0
487,6-4,270,Florida Atlantic,Trey Hendrickson,Bengals,RE,5.0,85.0,2.0,44915,27.0
488,6-1,233,Pittsburgh,James Conner,Cardinals,HB,5.0,81.0,7.0,44917,27.0
489,6-3,316,Iowa,Jaleel Johnson,Saints,DT,5.0,66.0,27.0,44922,28.0
490,6-0,202,Alabama,Eddie Jackson,Bears,FS,5.0,83.0,1.0,44925,28.0
491,6-1,220,Miami,Rayshawn Jenkins,Jaguars,FS,5.0,74.0,17.0,44926,28.0
492,5-11,240,Oklahoma,Samaje Perine,Bengals,HB,6.0,73.0,2.0,44927,26.0
493,6-2,265,Auburn,Carl Lawson,Jets,RE,5.0,83.0,18.0,44929,27.0
494,6-3,196,Texas A&amp;M,Josh Reynolds,Lions,WR,5.0,73.0,19.0,44930,27.0
495,6-4,221,North Carolina,Mack Hollins,Raiders,WR,5.0,70.0,23.0,44931,28.0
496,6-0,233,Tennessee,Jalen Reeves-Maybin,Texans,LOLB,5.0,68.0,32.0,44937,27.0
497,6-3,245,Eastern Washington,Samson Ebukam,49ers,RE,5.0,76.0,15.0,44938,27.0
499,6-0,213,Brigham Young,Jamaal Williams,Lions,HB,5.0,77.0,19.0,44947,27.0
500,6-4,284,Oregon State,Sean Harlow,Cardinals,C,5.0,59.0,7.0,44949,27.0
501,6-3,297,Clemson,Carlos Watkins,Cowboys,DT,5.0,67.0,11.0,44955,28.0
502,6-4,315,"Albany State, Ga.",Grover Stewart,Colts,DT,5.0,82.0,10.0,44957,28.0
503,6-4,250,Iowa,George Kittle,49ers,TE,5.0,97.0,15.0,44959,28.0
505,6-0,226,UCLA,Jayon Brown,Raiders,MLB,5.0,77.0,23.0,44968,27.0
506,6-4,335,Texas A&amp;M,Jermaine Eluemunor,Raiders,RG,5.0,67.0,23.0,44972,27.0
508,6-0,223,Boston College,Matt Milano,Bills,ROLB,5.0,81.0,3.0,44976,28.0
509,5-10,190,San Diego,Jamal Agnew,Jaguars,WR,5.0,74.0,17.0,44978,27.0
510,5-8,173,Georgia,Isaiah McKenzie,Bills,WR,5.0,76.0,3.0,44985,27.0
511,6-5,253,Drake,Eric Saubert,Broncos,TE,5.0,65.0,4.0,44987,28.0
512,5-8,181,Louisiana Tech,Trent Taylor,Bengals,WR,5.0,70.0,2.0,44990,28.0
513,6-3,311,Louisiana State,Davon Godchaux,Patriots,DT,5.0,74.0,22.0,44991,27.0
514,5-9,208,Texas-El Paso,Aaron Jones,Packers,HB,5.0,89.0,20.0,44995,27.0
515,6-0,205,Virginia Tech,Chuck Clark,Ravens,SS,5.0,78.0,25.0,44999,27.0
516,5-11,202,Louisiana Tech,Xavier Woods,Panthers,FS,5.0,77.0,21.0,45004,27.0
518,6-1,228,Boise State,Tanner Vallejo,Cardinals,MLB,5.0,66.0,7.0,45008,27.0
519,6-4,250,Miami,Al-Quadin Muhammad,Bears,LE,5.0,72.0,1.0,45009,27.0
520,6-0,321,Mississippi,D.J. Jones,Broncos,DT,5.0,76.0,4.0,45011,27.0
521,6-4,312,Wyoming,Chase Roullier,Commanders,C,5.0,80.0,26.0,45012,29.0
522,6-0,204,Auburn,Rudy Ford,Jaguars,FS,5.0,68.0,17.0,45021,27.0
523,6-8,305,UCLA,Conor McDermott,Jets,LT,5.0,56.0,18.0,45024,29.0
524,6-4,307,Chattanooga,Corey Levin,Titans,RG,4.0,61.0,30.0,45030,28.0
525,6-3,258,Northwestern,Ifeadi Odenigbo,Colts,LE,5.0,71.0,10.0,45033,28.0
526,6-4,280,Notre Dame,Isaac Rochell,Browns,RE,5.0,68.0,5.0,45038,27.0
527,6-2,229,Kansas State,Elijah Lee,Chiefs,LOLB,5.0,64.0,9.0,45045,26.0
528,6-2,225,Ohio State,Noah Brown,Cowboys,WR,5.0,70.0,11.0,45052,26.0
529,6-5,320,Baylor,Kyle Fuller,Ravens,CB,8.0,80.0,25.0,45056,30.0
530,6-5,320,Baylor,Kyle Fuller,Seahawks,C,5.0,59.0,28.0,45056,28.0
531,6-4,270,Eastern Michigan,Pat O'Connor,Buccaneers,RE,5.0,62.0,6.0,45063,28.0
533,6-5,260,San Diego State,Daniel Brunskill,49ers,RG,5.0,66.0,15.0,45069,28.0
534,6-4,232,Oregon,Johnny Mundt,Vikings,TE,5.0,64.0,31.0,45094,27.0
535,6-2,214,Old Dominion,Zach Pascal,Eagles,WR,5.0,78.0,13.0,45102,27.0
537,6-1,203,Eastern Washington,Kendrick Bourne,Patriots,WR,5.0,81.0,22.0,45185,27.0
538,5-10,190,Georgia Southern,Matt Breida,Giants,HB,5.0,72.0,16.0,45186,27.0
539,6-1,210,Southern Mississippi,Nick Mullens,Raiders,QB,5.0,64.0,23.0,45198,27.0
540,6-5,250,Louisiana State,Tashawn Bower,Raiders,ROLB,5.0,62.0,23.0,45203,27.0
541,6-1,230,Cincinnati,Eric Wilson,Saints,MLB,5.0,73.0,27.0,45215,27.0
542,6-3,248,Nebraska,Cethan Carter,Dolphins,FB,5.0,69.0,12.0,45217,26.0
543,6-3,345,Colorado,Josh Tupou,Bengals,DT,5.0,66.0,2.0,45226,28.0
544,6-2,221,Brigham Young,Taysom Hill,Saints,TE,5.0,72.0,27.0,45244,32.0
545,6-3,311,Maine,Patrick Ricard,Ravens,FB,5.0,81.0,25.0,45268,28.0
546,6-4,209,Arkansas,Cody Hollister,Titans,WR,4.0,64.0,30.0,45280,28.0
547,6-4,245,Wyoming,Jacob Hollister,Raiders,TE,5.0,68.0,23.0,45281,28.0
549,6-6,258,Oregon,Pharaoh Brown,Texans,TE,5.0,66.0,32.0,45339,28.0
550,6-0,225,Greenville,Nicholas Morrow,Bears,MLB,5.0,71.0,1.0,45345,27.0
552,6-2,246,Harvard,Anthony Firkser,Falcons,TE,4.0,70.0,14.0,45355,27.0
554,5-10,190,Memphis,Arthur Maulet,Steelers,CB,5.0,65.0,29.0,45395,29.0
555,6-1,193,Wyoming,Tanner Gentry,Bills,WR,5.0,59.0,3.0,45507,27.0
556,6-0,231,Northwestern,Joseph Jones,Titans,MLB,5.0,63.0,30.0,45533,28.0
557,6-3,225,Central Michigan,Cooper Rush,Cowboys,QB,5.0,58.0,11.0,45536,28.0
558,6-6,329,Massachusetts,Elijah Wilkinson,Falcons,LT,5.0,68.0,14.0,45550,27.0
560,6-2,196,Brigham Young,Michael Davis,Chargers,CB,5.0,74.0,8.0,45571,27.0
561,5-10,200,"Western State, Colo.",Austin Ekeler,Chargers,HB,5.0,88.0,8.0,45573,27.0
562,6-7,317,Toledo,Storm Norton,Chargers,RT,5.0,60.0,8.0,45630,28.0
563,6-5,237,Indiana State,Robert Tonyan,Packers,TE,4.0,80.0,20.0,45635,28.0
564,6-0,237,Missouri State,Dylan Cole,Titans,MLB,5.0,67.0,30.0,45643,28.0
565,6-6,309,Eastern Michigan,Andrew Wylie,Chiefs,RG,5.0,67.0,9.0,45695,28.0
566,5-10,205,Wisconsin,Dare Ogunbowale,Texans,HB,5.0,66.0,32.0,45719,28.0
567,6-9,325,Arkansas,Dan Skipper,Lions,RT,5.0,53.0,19.0,45721,27.0
568,6-6,220,Wisconsin-Platteville,Dan Arnold,Jaguars,TE,4.0,72.0,17.0,45785,27.0
569,6-5,307,Maryland,Michael Dunn,Browns,LG,4.0,63.0,5.0,45798,28.0
570,6-0,200,Washington State,River Cracraft,Dolphins,WR,5.0,65.0,12.0,45900,27.0
571,6-1,215,Oklahoma,Baker Mayfield,Browns,QB,4.0,77.0,5.0,46070,27.0
572,5-11,233,Penn State,Saquon Barkley,Giants,HB,4.0,86.0,16.0,46071,25.0
573,5-11,191,Ohio State,Denzel Ward,Browns,CB,4.0,92.0,5.0,46073,25.0
574,6-4,275,North Carolina State,Bradley Chubb,Broncos,LOLB,4.0,78.0,4.0,46074,26.0
575,6-5,330,Notre Dame,Quenton Nelson,Colts,LG,4.0,95.0,10.0,46075,26.0
576,6-5,237,Wyoming,Josh Allen,Bills,QB,4.0,92.0,3.0,46076,26.0
577,6-5,237,Wyoming,Josh Allen,Jaguars,ROLB,3.0,85.0,17.0,46076,25.0
578,6-0,230,Georgia,Roquan Smith,Bears,ROLB,4.0,89.0,1.0,46077,25.0
579,6-8,315,Notre Dame,Mike McGlinchey,49ers,RT,4.0,79.0,15.0,46078,27.0
580,6-1,207,Alabama,Minkah Fitzpatrick,Steelers,FS,4.0,89.0,29.0,46080,25.0
581,6-4,347,Washington,Vita Vea,Buccaneers,DT,4.0,93.0,6.0,46081,27.0
583,6-6,265,Texas-San Antonio,Marcus Davenport,Saints,RE,4.0,82.0,27.0,46083,25.0
584,6-8,325,UCLA,Kolton Miller,Raiders,LT,4.0,84.0,23.0,46084,26.0
585,6-5,250,Virginia Tech,Tremaine Edmunds,Bills,MLB,4.0,84.0,3.0,46085,24.0
587,5-10,196,Louisville,Jaire Alexander,Packers,CB,4.0,94.0,20.0,46087,25.0
588,6-4,256,Boise State,Leighton Vander Esch,Cowboys,MLB,4.0,80.0,11.0,46088,26.0
589,6-5,311,Arkansas,Frank Ragnow,Lions,C,4.0,87.0,19.0,46089,26.0
591,6-2,234,Alabama,Rashaan Evans,Falcons,MLB,4.0,79.0,14.0,46091,26.0
592,6-2,310,Georgia,Isaiah Wynn,Patriots,LT,4.0,79.0,22.0,46092,26.0
593,5-11,215,Maryland,D.J. Moore,Panthers,WR,4.0,88.0,21.0,46093,25.0
594,6-4,245,South Carolina,Hayden Hurst,Bengals,TE,4.0,76.0,2.0,46094,29.0
595,5-11,220,San Diego State,Rashaad Penny,Seahawks,HB,4.0,78.0,28.0,46096,26.0
596,6-1,217,Virginia Tech,Terrell Edmunds,Steelers,SS,4.0,78.0,29.0,46097,25.0
597,6-4,291,Florida,Taven Bryan,Browns,DT,4.0,70.0,5.0,46098,26.0
598,5-10,191,Central Florida,Mike Hughes,Lions,CB,4.0,78.0,19.0,46099,25.0
599,5-11,215,Georgia,Sony Michel,Dolphins,HB,4.0,77.0,12.0,46100,27.0
600,6-2,212,Louisville,Lamar Jackson,Ravens,QB,4.0,87.0,25.0,46101,25.0
601,6-2,212,Louisville,Lamar Jackson,Bears,CB,2.0,62.0,1.0,46101,24.0
602,6-4,305,Nevada,Austin Corbett,Panthers,RG,4.0,76.0,21.0,46102,26.0
603,6-2,327,Texas-El Paso,Will Hernandez,Cardinals,RG,4.0,72.0,7.0,46103,26.0
604,5-11,225,Georgia,Nick Chubb,Browns,HB,4.0,96.0,5.0,46104,26.0
606,6-6,315,Auburn,Braden Smith,Colts,RT,4.0,85.0,10.0,46106,26.0
607,6-3,305,Iowa,James Daniels,Steelers,RG,4.0,78.0,29.0,46108,24.0
608,6-4,216,Southern Methodist,Courtland Sutton,Broncos,WR,4.0,84.0,4.0,46109,26.0
609,6-6,252,Penn State,Mike Gesicki,Dolphins,TE,4.0,86.0,12.0,46111,26.0
610,6-1,195,Washington,Dante Pettis,Bears,WR,4.0,74.0,1.0,46113,26.0
611,6-0,196,Iowa,Josh Jackson,Cardinals,CB,4.0,70.0,7.0,46114,26.0
612,5-11,200,Texas A&amp;M,Christian Kirk,Jaguars,WR,4.0,81.0,17.0,46116,25.0
613,6-2,251,Southern California,Uchenna Nwosu,Seahawks,LOLB,4.0,75.0,28.0,46117,25.0
614,6-5,256,South Dakota State,Dallas Goedert,Eagles,TE,4.0,85.0,13.0,46118,27.0
615,6-5,298,Texas,Connor Williams,Dolphins,C,4.0,73.0,12.0,46119,25.0
616,6-5,248,Rutgers,Kemoko Turay,49ers,RE,4.0,73.0,15.0,46121,27.0
619,5-10,180,Louisiana State,Donte Jackson,Panthers,CB,4.0,81.0,21.0,46124,26.0
620,6-0,210,Colorado,Isaiah Oliver,Falcons,CB,4.0,74.0,14.0,46127,25.0
622,6-7,297,Pittsburgh,Brian O'Neill,Vikings,RT,4.0,83.0,31.0,46131,26.0
624,6-3,277,Ohio State,Tyquan Lewis,Colts,LE,4.0,74.0,10.0,46133,27.0
625,6-5,250,Georgia,Lorenzo Carter,Falcons,ROLB,4.0,73.0,14.0,46135,26.0
626,6-1,204,Stanford,Justin Reid,Chiefs,SS,4.0,82.0,9.0,46137,25.0
627,6-3,311,North Carolina State,B.J. Hill,Bengals,DT,4.0,79.0,2.0,46138,26.0
628,6-3,236,Brigham Young,Fred Warner,49ers,MLB,4.0,94.0,15.0,46139,25.0
629,6-4,315,Fort Hays State,Nathan Shepherd,Jets,DT,4.0,69.0,18.0,46141,28.0
630,6-2,225,Ohio State,Jerome Baker,Dolphins,MLB,4.0,79.0,12.0,46142,25.0
632,6-1,310,Florida State,Derrick Nnadi,Chiefs,DT,4.0,78.0,9.0,46144,26.0
633,6-5,265,Ohio State,Sam Hubbard,Bengals,LE,4.0,75.0,2.0,46146,27.0
634,6-4,279,Southern California,Rasheem Green,Texans,RE,4.0,71.0,32.0,46148,25.0
635,6-1,200,Colorado State,Michael Gallup,Cowboys,WR,4.0,83.0,11.0,46150,26.0
637,6-8,345,Oklahoma,Orlando Brown,Chiefs,LT,4.0,80.0,9.0,46152,26.0
638,6-3,309,North Carolina State,Justin Jones,Bears,DT,4.0,73.0,1.0,46153,26.0
639,6-5,255,Oklahoma,Mark Andrews,Ravens,TE,4.0,93.0,25.0,46155,26.0
640,6-5,240,Louisiana State,Arden Key,Jaguars,ROLB,4.0,70.0,17.0,46156,26.0
641,6-3,233,Vanderbilt,Oren Burks,49ers,MLB,4.0,66.0,15.0,46157,27.0
642,6-5,321,Texas Christian,Joseph Noteboom,Rams,LT,4.0,71.0,24.0,46158,27.0
643,6-1,305,South Florida,Deadrin Senat,Buccaneers,LE,4.0,67.0,6.0,46159,28.0
644,6-2,210,Central Florida,Tre'Quan Smith,Saints,WR,4.0,74.0,27.0,46160,26.0
645,6-6,320,Western Michigan,Chukwuma Okorafor,Steelers,RT,4.0,70.0,29.0,46161,25.0
647,6-6,305,Humboldt State,Alex Cappa,Bengals,RG,4.0,75.0,2.0,46163,27.0
648,6-2,200,Southern Mississippi,Tarvarius Moore,49ers,FS,4.0,69.0,15.0,46164,26.0
649,6-3,307,Stanford,Harrison Phillips,Vikings,LE,4.0,75.0,31.0,46165,26.0
650,6-5,292,Michigan,Mason Cole,Steelers,C,4.0,68.0,29.0,46166,26.0
651,6-4,243,Central Florida,Jordan Akins,Giants,TE,4.0,71.0,16.0,46167,30.0
652,6-1,190,Boston College,Isaac Yiadom,Texans,CB,4.0,72.0,32.0,46168,26.0
653,6-3,260,Indiana,Ian Thomas,Panthers,TE,4.0,71.0,21.0,46170,26.0
654,5-9,198,North Carolina State,Nyheim Hines,Colts,HB,4.0,78.0,10.0,46173,25.0
655,6-1,236,Iowa,Josey Jewell,Broncos,MLB,4.0,76.0,4.0,46175,27.0
656,6-2,302,Michigan State,Brian Allen,Rams,C,4.0,71.0,24.0,46180,26.0
657,6-3,297,Alabama,Da'Shawn Hand,Titans,LE,4.0,73.0,30.0,46183,26.0
658,6-4,255,Kansas,Dorance Armstrong,Cowboys,RE,4.0,70.0,11.0,46185,25.0
659,5-10,198,Pittsburgh,Jordan Whitehead,Jets,SS,4.0,77.0,18.0,46186,25.0
660,5-11,178,Alabama,Anthony Averett,Raiders,CB,4.0,76.0,23.0,46187,27.0
